"ordinal","reviewClass","lane","id","team","slug","assetIndex","assetType","reason","before","splitParts","existingPartMatches","projectedPartsToCreate","projectedNetAssetChange","warnings","errors"
"80","manual","CND_manual_has_obvious_delimiter_use_other_lane","BUF-2004-0262","dallas-cowboys","2004-1st-round-pick-22nd-overall-j-p-losman-dallas-cowboys-2004","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2004 2nd round pick (43rd overall, Julius Jones), 2004 5th round pick (144th overall, Sean Ryan) and 2005 1st round pick (20th overall, Marcus Spears)","2004 2nd round pick (43rd overall, Julius Jones) || 2004 5th round pick (144th overall, Sean Ryan) || 2005 1st round pick (20th overall, Marcus Spears)","","3","2","",""
"81","manual","CND_manual_has_obvious_delimiter_use_other_lane","CLE-2004-0331","indianapolis-colts","2004-2nd-round-pick-59th-overall-sean-jones-and-2004-5th-round-pick-161st-overal","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2004 3rd round pick (68th overall, Ben Hartsock), 2004 5th round pick (141st overall, Jake Scott) and 2004 6th round pick (173rd overall, Von Hutchins)","2004 3rd round pick (68th overall, Ben Hartsock) || 2004 5th round pick (141st overall, Jake Scott) || 2004 6th round pick (173rd overall, Von Hutchins)","","3","2","",""
"82","manual","CND_manual_asset_has_risk_flags","LAC-2004-0338","los-angeles-chargers","philip-rivers-2004-3rd-round-pick-65th-overall-nate-kaeding-2005-1st-round-pick","0","pick","asset risks: explanatory_or_contingent","Philip Rivers, 2004 3rd round pick (65th overall, Nate Kaeding), 2005 1st round pick (12th overall, Shawne Merriman) and 2005 5th round pick (144th overall subsequently traded, Jerome Collins)","2004 3rd round pick (65th overall, Nate Kaeding) || 2005 1st round pick (12th overall, Shawne Merriman) || 2005 5th round pick (144th overall subsequently traded, Jerome Collins)","","3","2","",""
"83","manual","CND_manual_has_obvious_delimiter_use_other_lane","MIN-2005-0199","minnesota-vikings","napoleon-harris-2005-1st-round-pick-7th-overall-troy-williamson-las-vegas-oaklan","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","Napoleon Harris, 2005 1st round pick (7th overall, Troy Williamson) and 2005 7th round pick (219th overall, Adrian Ward)","2005 1st round pick (7th overall, Troy Williamson) || 2005 7th round pick (219th overall, Adrian Ward)","","2","1","",""
"84","manual","CND_manual_asset_has_risk_flags","RAI-2005-0320","new-york-jets","2005-1st-round-pick-26th-overall-subsequently-traded-new-york-jets-2005","0","pick","asset risks: explanatory_or_contingent","Doug Jolley, 2005 2nd round pick (47th overall, Mike Nugent), 2005 6th round pick (182nd overall, Cedric Houston) and 2005 6th round pick (185th overall subsequently traded, Chad Owens)","2005 2nd round pick (47th overall, Mike Nugent) || 2005 6th round pick (182nd overall, Cedric Houston) || 2005 6th round pick (185th overall subsequently traded, Chad Owens)","","3","2","",""
"85","manual","CND_manual_asset_has_risk_flags","NE-2005-0289","new-england-patriots","2005-3rd-round-pick-84th-overall-ellis-hobbs-2005-6th-round-pick-195th-overall-subsequentl","0","pick","asset risks: explanatory_or_contingent","2005 3rd round pick (84th overall, Ellis Hobbs), 2005 6th round pick (195th overall subsequently traded, Craig Bragg) and 2006 3rd round pick (75th overall subsequently traded, Jason Spitz)","2005 3rd round pick (84th overall, Ellis Hobbs) || 2005 6th round pick (195th overall subsequently traded, Craig Bragg) || 2006 3rd round pick (75th overall subsequently traded, Jason Spitz)","","3","2","",""
"86","manual","CND_manual_asset_has_risk_flags","SEA-2005-04-23-0125","carolina-panthers","2005-2nd-round-pick-45th-overall-lofa-tatupu-carolina-panthers-2005","3","pick","asset risks: explanatory_or_contingent","2005 2nd round pick (54th overall, Eric Shelton), 2005 4th round pick (121st overall, Stefan Lefors) and 2005 4th round pick (126th overall subsequently traded, Todd Herremans)","2005 2nd round pick (54th overall, Eric Shelton) || 2005 4th round pick (121st overall, Stefan Lefors) || 2005 4th round pick (126th overall subsequently traded, Todd Herremans)","2005 2nd round pick (54th overall, Eric Shelton) => [0] 2005 2nd round pick (54th overall, Eric Shelton) || 2005 4th round pick (121st overall, Stefan Lefors) => [1] 2005 4th round pick (121st overall, Stefan Lefors) || 2005 4th round pick (126th overall subsequently traded, Todd Herremans) => [2] 2005 4th round pick (126th overall subsequently traded, Todd Herremans)","0","-1","",""
"87","manual","CND_manual_asset_has_risk_flags","PHI-2005-0301","green-bay-packers","eagles-2005-04-24-green-bay-packers-0301","0","pick","asset risks: explanatory_or_contingent","2005 5th round pick (167th overall, Michael Hawkins), 2005 6th round pick (175th overall subsequently traded, Anttaj Hawthorne) and 2005 7th round pick (245th overall, Kurt Campbell)","2005 5th round pick (167th overall, Michael Hawkins) || 2005 6th round pick (175th overall subsequently traded, Anttaj Hawthorne) || 2005 7th round pick (245th overall, Kurt Campbell)","","3","2","",""
"88","manual","CND_manual_has_obvious_delimiter_use_other_lane","NYG-2006-0262","new-york-giants","2006-1st-round-pick-32nd-overall-mathias-kiwanuka-2006-3rd-round-pick-96th-overa","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2006 1st round pick (32nd overall, Mathias Kiwanuka), 2006 3rd round pick (96th overall, Gerris Wilkinson) and 2006 4th round pick (129th overall, Guy Whimper)","2006 1st round pick (32nd overall, Mathias Kiwanuka) || 2006 3rd round pick (96th overall, Gerris Wilkinson) || 2006 4th round pick (129th overall, Guy Whimper)","","3","2","",""
"89","manual","CND_manual_asset_has_risk_flags","ATL-2006-0243","green-bay-packers","2006-2nd-round-pick-37th-overall-green-bay-packers-2006","3","pick","asset risks: explanatory_or_contingent","2006 2nd round pick (47th overall, Daryn Colledge), 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) and 2006 5th round pick (148th overall, Ingle Martin)","2006 2nd round pick (47th overall, Daryn Colledge) || 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) || 2006 5th round pick (148th overall, Ingle Martin)","2006 2nd round pick (47th overall, Daryn Colledge) => [0] 2006 2nd round pick (47th overall, Daryn Colledge) || 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) => [1] 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) || 2006 5th round pick (148th overall, Ingle Martin) => [2] 2006 5th round pick (148th overall, Ingle Martin)","0","-1","",""
"90","manual","CND_manual_asset_has_risk_flags","DAL-2006-0276","dallas-cowboys","2006-2nd-round-pick-2006-6th-round-pick-and-2006-7th-round-new-york-jets-2006","0","pick","asset risks: explanatory_or_contingent","2006 2nd round pick (53rd overall, Anthony Fasano), 2006 6th round pick (189th overall subsequently traded, Drew Coleman) and 2006 7th round pick (211th overall, Pat McQuistan)","2006 2nd round pick (53rd overall, Anthony Fasano) || 2006 6th round pick (189th overall subsequently traded, Drew Coleman) || 2006 7th round pick (211th overall, Pat McQuistan)","","3","2","",""
"91","manual","CND_manual_asset_has_risk_flags","NYJ-2006-0198","new-york-jets","2006-2nd-round-pick-53rd-overall-subsequently-traded-anthony-fasano-2006-6th-round-pick-18","0","pick","asset risks: explanatory_or_contingent","2006 2nd round pick (53rd overall subsequently traded, Anthony Fasano), 2006 6th round pick (189th overall, Drew Coleman) and 2007 2nd round pick (37th overall subsequently traded, Eric Weddle)","2006 2nd round pick (53rd overall subsequently traded, Anthony Fasano) || 2006 6th round pick (189th overall, Drew Coleman) || 2007 2nd round pick (37th overall subsequently traded, Eric Weddle)","","3","2","",""
"92","manual","CND_manual_has_obvious_delimiter_use_other_lane","PIT-2006-0336","new-york-giants","2006-1st-round-pick-25th-overall-santonio-holmes-new-york-giants-2006","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2006 1st round pick (32nd overall, Mathias Kiwanuka), 2006 3rd round pick (96th overall, Gerris Wilkinson) and 2006 4th round pick (129th overall, Guy Whimper)","2006 1st round pick (32nd overall, Mathias Kiwanuka) || 2006 3rd round pick (96th overall, Gerris Wilkinson) || 2006 4th round pick (129th overall, Guy Whimper)","","3","2","",""
"93","manual","CND_manual_has_obvious_delimiter_use_other_lane","CAR-2007-0032","carolina-panthers","panthers-new-york-jets-trade-2007-0032","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2007 1st round pick (25th overall, Jon Beason), 2007 2nd round pick (59th overall, Ryan Kalil) and 2007 5th round pick (164th overall, Tim Shaw)","2007 1st round pick (25th overall, Jon Beason) || 2007 2nd round pick (59th overall, Ryan Kalil) || 2007 5th round pick (164th overall, Tim Shaw)","","3","2","",""
"94","manual","CND_manual_has_obvious_delimiter_use_other_lane","DAL-2007-0283","philadelphia-eagles","2007-1st-round-pick-philadelphia-eagles-2007","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2007 2nd round pick (36th overall, Kevin Kolb), 2007 3rd round pick (87th overall, Stewart Bradley) and 2007 5th round pick (159th overall, C.J. Gaddis)","2007 2nd round pick (36th overall, Kevin Kolb) || 2007 3rd round pick (87th overall, Stewart Bradley) || 2007 5th round pick (159th overall, C.J. Gaddis)","","3","2","",""
"95","manual","CND_manual_asset_has_risk_flags","DEN-2007-04-28-0292","jacksonville-jaguars","2007-1st-round-pick-17th-overall-jarvis-moss-jacksonville-jaguars-2007","0","pick","asset risks: explanatory_or_contingent","2007 1st round pick (21st overall, Reggie Nelson), 2007 3rd round pick (86th overall subsequently traded, Marshal Yanda) and 2007 6th round pick (198th overall subsequently traded, Doug Datish)","2007 1st round pick (21st overall, Reggie Nelson) || 2007 3rd round pick (86th overall subsequently traded, Marshal Yanda) || 2007 6th round pick (198th overall subsequently traded, Doug Datish)","","3","2","",""
"96","manual","CND_manual_asset_has_risk_flags","JAX-2007-0033","jacksonville-jaguars","2007-4th-round-pick-101st-overall-baltimore-ravens-2007","0","pick","asset risks: explanatory_or_contingent","2007 4th round pick (101st overall, Adam Podlesh), 2007 5th round pick (166th overall, Derek Landri) and 2007 6th round pick (203rd overall subsequently traded, Daren Stone)","2007 4th round pick (101st overall, Adam Podlesh) || 2007 5th round pick (166th overall, Derek Landri) || 2007 6th round pick (203rd overall subsequently traded, Daren Stone)","","3","2","",""
"97","manual","CND_manual_has_obvious_delimiter_use_other_lane","LAC-2007-0346","chicago-bears","2007-2nd-round-pick-37th-overall-eric-weddle-chicago-bears-2007","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2007 2nd round pick (62nd overall, Dan Bazuin), 2007 3rd round pick (93rd overall, Garrett Wolfe), 2007 5th round pick (167th overall, Kevin Payne) and 2008 3rd round pick (90th overall, Marcus Harrison)","2007 2nd round pick (62nd overall, Dan Bazuin) || 2007 3rd round pick (93rd overall, Garrett Wolfe) || 2007 5th round pick (167th overall, Kevin Payne) || 2008 3rd round pick (90th overall, Marcus Harrison)","","4","3","",""
"98","manual","CND_manual_has_obvious_delimiter_use_other_lane","NYJ-2007-0210","green-bay-packers","2007-2nd-round-pick-47th-overall-david-harris-and-2007-7th-round-pick-235th-overall-chansi","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2007 2nd round pick (63rd overall, Brandon Jackson), 2007 3rd round pick (89th overall, Aaron Rouse) and 2007 6th round pick (192nd overall, Desmond Bishop)","2007 2nd round pick (63rd overall, Brandon Jackson) || 2007 3rd round pick (89th overall, Aaron Rouse) || 2007 6th round pick (192nd overall, Desmond Bishop)","","3","2","",""
"99","manual","CND_manual_asset_has_risk_flags","JAX-2007-0034","atlanta-falcons","2007-5th-round-pick-149th-overall-atlanta-falcons-2007","0","pick","asset risks: explanatory_or_contingent","2007 6th round pick (195th overall subsequently traded, Deon Anderson), 2007 6th round pick (198th overall, Doug Datish), 2007 6th round pick (203rd overall, Daren Stone)","2007 6th round pick (195th overall subsequently traded, Deon Anderson) || 2007 6th round pick (198th overall, Doug Datish) || 2007 6th round pick (203rd overall, Daren Stone)","2007 6th round pick (195th overall subsequently traded, Deon Anderson) => [1] 2007 6th round pick (195th overall subsequently traded, Deon Anderson) || 2007 6th round pick (198th overall, Doug Datish) => [2] 2007 6th round pick (198th overall, Doug Datish) || 2007 6th round pick (203rd overall, Daren Stone) => [3] 2007 6th round pick (203rd overall, Daren Stone)","0","-1","",""
"100","manual","CND_manual_asset_has_risk_flags","MIN-2007-04-29-0220","minnesota-vikings","draft-pick-trade-denver-broncos-2007","0","pick","asset risks: explanatory_or_contingent","2007 6th round pick (176th overall, Rufus Alexander), 2007 7th round pick (233rd overall, Chandler Williams) and 2008 3rd round pick (73rd overall subsequently traded, Jamaal Charles)","2007 6th round pick (176th overall, Rufus Alexander) || 2007 7th round pick (233rd overall, Chandler Williams) || 2008 3rd round pick (73rd overall subsequently traded, Jamaal Charles)","","3","2","",""
"101","manual","CND_manual_asset_has_risk_flags","MIN-2008-04-23-0223","kansas-city-chiefs","jared-allen-kansas-city-chiefs-2008","0","pick","asset risks: explanatory_or_contingent","2008 1st round pick (17th overall subsequently traded, Gosder Cherilus), 2008 3rd round pick (73rd overall, Jamaal Charles), 2008 3rd round pick (82nd overall, DaJuan Morgan) and 2008 6th round pick (182nd overall, Kevin Robinson)","2008 1st round pick (17th overall subsequently traded, Gosder Cherilus) || 2008 3rd round pick (73rd overall, Jamaal Charles) || 2008 3rd round pick (82nd overall, DaJuan Morgan) || 2008 6th round pick (182nd overall, Kevin Robinson)","","4","3","",""
"102","manual","CND_manual_has_obvious_delimiter_use_other_lane","BAL-2008-0038","houston-texans","2008-1st-round-pick-18th-overall-joe-flacco-houston-texans-2008","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2008 1st round pick (26th overall, Duane Brown), 2008 3rd round pick (89th overall, Steve Slaton) and 2008 6th round pick (173rd overall, Dominique Barber)","2008 1st round pick (26th overall, Duane Brown) || 2008 3rd round pick (89th overall, Steve Slaton) || 2008 6th round pick (173rd overall, Dominique Barber)","","3","2","",""
"103","manual","CND_manual_asset_has_risk_flags","CAR-2008-0035","philadelphia-eagles","panthers-philadelphia-eagles-trade-2008-0035","0","pick","asset risks: explanatory_or_contingent","2008 2nd round pick (43rd overall subsequently traded, Tyrell Johnson), 2008 4th round pick (109th overall, Mike McGlynn) and 2009 1st round pick (28th overall subsequently traded, Eric Wood)","2008 2nd round pick (43rd overall subsequently traded, Tyrell Johnson) || 2008 4th round pick (109th overall, Mike McGlynn) || 2009 1st round pick (28th overall subsequently traded, Eric Wood)","","3","2","",""
"104","manual","CND_manual_asset_has_risk_flags","JAX-2008-0038","baltimore-ravens","2008-1st-round-pick-8th-overall-baltimore-ravens-2008","0","pick","asset risks: explanatory_or_contingent","2008 1st round pick (26th overall subsequently traded, Duane Brown), 2008 3rd round pick (71st overall, Tavares Gooden), 2008 3rd round pick (89th overall subsequently traded, Steve Slaton) and 2008 4th round pick (125th overall subsequently traded, Arman Shields)","2008 1st round pick (26th overall subsequently traded, Duane Brown) || 2008 3rd round pick (71st overall, Tavares Gooden) || 2008 3rd round pick (89th overall subsequently traded, Steve Slaton) || 2008 4th round pick (125th overall subsequently traded, Arman Shields)","","4","3","",""
"105","manual","CND_manual_asset_has_risk_flags","KC-2008-0219","detroit-lions","2008-1st-round-pick-15th-overall-detroit-lions-2008","0","pick","asset risks: explanatory_or_contingent","2008 1st round pick (17th overall, Gosder Cherilus), 2008 3rd round pick (66th overall subsequently traded, Kendall Langford) and 2008 5th round pick (136th overall, Kenny Moore)","2008 1st round pick (17th overall, Gosder Cherilus) || 2008 3rd round pick (66th overall subsequently traded, Kendall Langford) || 2008 5th round pick (136th overall, Kenny Moore)","","3","2","",""
"106","manual","CND_manual_has_obvious_delimiter_use_other_lane","SEA-2008-04-26-0136","seattle-seahawks","2008-1st-round-pick-28th-overall-lawrence-jackso-dallas-cowboys-2008","3","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2008 1st round pick (28th overall, Lawrence Jackson), 2008 5th round pick (163rd overall, Owen Schmitt) and 2008 7th round pick (235th overall, Brandon Coutu)","2008 1st round pick (28th overall, Lawrence Jackson) || 2008 5th round pick (163rd overall, Owen Schmitt) || 2008 7th round pick (235th overall, Brandon Coutu)","2008 1st round pick (28th overall, Lawrence Jackson) => [0] 2008 1st round pick (28th overall, Lawrence Jackson) || 2008 5th round pick (163rd overall, Owen Schmitt) => [1] 2008 5th round pick (163rd overall, Owen Schmitt) || 2008 7th round pick (235th overall, Brandon Coutu) => [2] 2008 7th round pick (235th overall, Brandon Coutu)","0","-1","",""
"107","manual","CND_manual_asset_has_risk_flags","WAS-2008-0395","washington-commanders","an-undisclosed-2008-draft-pick-2008-2nd-round-pick-34th-overall-devin-thomas-and-2008-4th","0","pick","asset risks: explanatory_or_contingent","an undisclosed 2008 draft pick, 2008 2nd round pick (34th overall, Devin Thomas) and 2008 4th round pick (103rd overall subsequently traded, William Hayes)","2008 2nd round pick (34th overall, Devin Thomas) || 2008 4th round pick (103rd overall subsequently traded, William Hayes)","2008 4th round pick (103rd overall subsequently traded, William Hayes) => [2] 2008 4th round pick (103rd overall subsequently traded, William Hayes)","1","0","",""
"108","manual","CND_manual_has_obvious_delimiter_use_other_lane","WAS-2008-0395","atlanta-falcons","an-undisclosed-2008-draft-pick-2008-2nd-round-pick-34th-overall-devin-thomas-and-2008-4th","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2008 1st round pick (21st overall, Sam Baker), 2008 3rd round pick (84th overall, Harry Douglas) and 2008 5th round pick (154th overall, Kroy Biermann)","2008 1st round pick (21st overall, Sam Baker) || 2008 3rd round pick (84th overall, Harry Douglas) || 2008 5th round pick (154th overall, Kroy Biermann)","2008 1st round pick (21st overall, Sam Baker) => [1] 2008 1st round pick (21st overall, Sam Baker) || 2008 3rd round pick (84th overall, Harry Douglas) => [2] 2008 3rd round pick (84th overall, Harry Douglas) || 2008 5th round pick (154th overall, Kroy Biermann) => [3] 2008 5th round pick (154th overall, Kroy Biermann)","0","-1","",""
"109","manual","CND_manual_asset_has_risk_flags","IND-2008-0322","philadelphia-eagles","an-undisclosed-2008-draft-pick-philadelphia-eagles-2008","1","pick","asset risks: explanatory_or_contingent","2009: Traded Greg Lewis and 2010 7th round pick (231st overall subsequently traded, Selvish Capers) to Patriots for 2009 5th round pick (159th overall, Fenuki Tupou)","2010 7th round pick (231st overall subsequently traded, Selvish Capers) to Patriots for || 2009 5th round pick (159th overall, Fenuki Tupou)","","2","1","",""
"110","manual","CND_manual_has_obvious_delimiter_use_other_lane","DAL-2008-0296","detroit-lions","roy-williams-and-2009-7th-round-pick-detroit-lions-2008","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2009 1st round pick (20th overall, Brandon Pettigrew), 2009 3rd round pick (82nd overall, Derrick Williams) and 2009 6th round pick (192nd overall, Aaron Brown)","2009 1st round pick (20th overall, Brandon Pettigrew) || 2009 3rd round pick (82nd overall, Derrick Williams) || 2009 6th round pick (192nd overall, Aaron Brown)","","3","2","",""
"111","manual","CND_manual_asset_has_risk_flags","DEN-2009-04-03-0301","denver-broncos","kyle-orton-2009-1st-round-pick-18th-overall-robert-ayers-2009-3rd-round-pick-84th-overall","0","pick","asset risks: explanatory_or_contingent","Kyle Orton, 2009 1st round pick (18th overall, Robert Ayers), 2009 3rd round pick (84th overall subsequently traded, Mike Wallace) and 2010 1st round pick (11th overall subsequently traded, Anthony Davis)","2009 1st round pick (18th overall, Robert Ayers) || 2009 3rd round pick (84th overall subsequently traded, Mike Wallace) || 2010 1st round pick (11th overall subsequently traded, Anthony Davis)","","3","2","",""
"112","manual","CND_manual_asset_has_risk_flags","CLE-2009-0360","cleveland-browns","kenyon-coleman-abram-elam-brett-ratliff-2009-1st-round-pick-17th-overall-subsequ","0","pick","asset risks: explanatory_or_contingent","Kenyon Coleman, Abram Elam, Brett Ratliff, 2009 1st round pick (17th overall subsequently traded, Josh Freeman) and 2009 2nd round pick (52nd overall, David Veikune)","2009 1st round pick (17th overall subsequently traded, Josh Freeman) || 2009 2nd round pick (52nd overall, David Veikune)","","2","1","",""
"113","manual","CND_manual_asset_has_risk_flags","GB-2009-0398","new-england-patriots","2009-1st-round-pick-26th-overall-clay-matthews-and-2009-5th-round-pick-162nd-ove","0","pick","asset risks: explanatory_or_contingent","2009 2nd round pick (41st overall, Darius Butler), 2009 3rd round pick (73rd overall subsequently traded, Derek Cox) and 2009 3rd round pick (83rd overall, Brandon Tate)","2009 2nd round pick (41st overall, Darius Butler) || 2009 3rd round pick (73rd overall subsequently traded, Derek Cox) || 2009 3rd round pick (83rd overall, Brandon Tate)","","3","2","",""
"114","manual","CND_manual_has_obvious_delimiter_use_other_lane","RAI-2009-0334","las-vegas-raiders","2009-2nd-round-pick-47th-overall-new-england-patriots-2009","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2009 2nd round pick (47th overall, Mike Mitchell), 2009 4th round pick (124th overall, Louis Murphy) and 2009 6th round pick (199th overall, Stryker Sulak)","2009 2nd round pick (47th overall, Mike Mitchell) || 2009 4th round pick (124th overall, Louis Murphy) || 2009 6th round pick (199th overall, Stryker Sulak)","","3","2","",""
"115","manual","CND_manual_has_obvious_delimiter_use_other_lane","NYJ-2009-0221","detroit-lions","2009-3rd-round-pick-65th-overall-shonn-greene-detroit-lions-2009","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2009 3rd round pick (76th overall, DeAndre Levy), 2009 4th round pick (115th overall, Sammie Lee Hill) and 2009 7th round pick (228th overall, Lydon Murtha)","2009 3rd round pick (76th overall, DeAndre Levy) || 2009 4th round pick (115th overall, Sammie Lee Hill) || 2009 7th round pick (228th overall, Lydon Murtha)","","3","2","",""
"116","manual","CND_manual_asset_has_risk_flags","SEA-2009-04-26-0142","philadelphia-eagles","2009-3rd-round-pick-91st-overall-deon-butler-philadelphia-eagles-2009","3","pick","asset risks: explanatory_or_contingent","2009 5th round pick (137th overall subsequently traded, Jason Phillips), 2009 7th round pick (213th overall, Paul Fanaika) and 2010 3rd round pick (70th overall subsequently traded, Ed Dickson)","2009 5th round pick (137th overall subsequently traded, Jason Phillips) || 2009 7th round pick (213th overall, Paul Fanaika) || 2010 3rd round pick (70th overall subsequently traded, Ed Dickson)","2009 5th round pick (137th overall subsequently traded, Jason Phillips) => [0] 2009 5th round pick (137th overall subsequently traded, Jason Phillips) || 2009 7th round pick (213th overall, Paul Fanaika) => [1] 2009 7th round pick (213th overall, Paul Fanaika) || 2010 3rd round pick (70th overall subsequently traded, Ed Dickson) => [2] 2010 3rd round pick (70th overall subsequently traded, Ed Dickson)","0","-1","",""
"117","manual","CND_manual_asset_has_risk_flags","DEN-2010-03-15-0308","cleveland-browns","brady-quinn-cleveland-browns-2010","0","player","asset risks: explanatory_or_contingent","Peyton Hillis, 2011 6th round pick (168th overall subsequently traded, Demarcus Love) and 2012 5th round pick (160th overall, Ryan Miller)","2011 6th round pick (168th overall subsequently traded, Demarcus Love) || 2012 5th round pick (160th overall, Ryan Miller)","","2","1","assetType_not_pick=player",""
"118","manual","CND_manual_asset_has_risk_flags","PHI-2010-0332","philadelphia-eagles","eagles-2010-04-02-cleveland-browns-0332","0","pick","asset risks: explanatory_or_contingent","Alex Hall, 2010 4th round pick (105th overall, Trevard Lindley) and 2010 5th round pick (137th overall subsequently traded, Perrish Cox)","2010 4th round pick (105th overall, Trevard Lindley) || 2010 5th round pick (137th overall subsequently traded, Perrish Cox)","","2","1","",""
"119","manual","CND_manual_asset_has_risk_flags","RAM-2010-0455","washington-commanders","2010-5th-round-pick-135th-overall-subsequently-traded-dominique-franks-and-2010","0","pick","asset risks: explanatory_or_contingent","Adam Carriker, 2010 5th round pick (163rd overall subsequently traded, Reshad Jones) and 2010 7th round pick (208th overall subsequently traded, Thomas Welch)","2010 5th round pick (163rd overall subsequently traded, Reshad Jones) || 2010 7th round pick (208th overall subsequently traded, Thomas Welch)","","2","1","",""
"120","manual","CND_manual_asset_has_risk_flags","DEN-2010-04-22-0312","denver-broncos","2010-1st-round-pick-24th-overall-subsequently-traded-dez-bryant-2010-3rd-round-pick-70th-o","0","pick","asset risks: explanatory_or_contingent","2010 1st round pick (24th overall subsequently traded, Dez Bryant), 2010 3rd round pick (70th overall subsequently traded, Ed Dickson) and 2010 3rd round pick (87th overall, Eric Decker)","2010 1st round pick (24th overall subsequently traded, Dez Bryant) || 2010 3rd round pick (70th overall subsequently traded, Ed Dickson) || 2010 3rd round pick (87th overall, Eric Decker)","","3","2","",""
"121","manual","CND_manual_has_obvious_delimiter_use_other_lane","DEN-2010-04-22-0314","baltimore-ravens","2010-1st-round-pick-25th-overall-tim-tebow-baltimore-ravens-2010","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2010 2nd round pick (43rd overall, Sergio Kindle), 2010 3rd round pick (70th overall, Ed Dickson) and 2010 4th round pick (114th overall, Dennis Pitta)","2010 2nd round pick (43rd overall, Sergio Kindle) || 2010 3rd round pick (70th overall, Ed Dickson) || 2010 4th round pick (114th overall, Dennis Pitta)","","3","2","",""
"122","manual","CND_manual_asset_has_risk_flags","LAC-2010-0353","los-angeles-chargers","2010-1st-round-pick-12th-overall-ryan-mathews-2010-4th-round-pick-110th-overall","0","pick","asset risks: explanatory_or_contingent","2010 1st round pick (12th overall, Ryan Mathews), 2010 4th round pick (110th overall, Darrell Stuckey) and 2010 6th round pick (173rd overall subsequently traded, Anthony Dixon)","2010 1st round pick (12th overall, Ryan Mathews) || 2010 4th round pick (110th overall, Darrell Stuckey) || 2010 6th round pick (173rd overall subsequently traded, Anthony Dixon)","","3","2","",""
"123","manual","CND_manual_asset_has_risk_flags","LAC-2010-0353","miami-dolphins","2010-1st-round-pick-12th-overall-ryan-mathews-2010-4th-round-pick-110th-overall","0","pick","asset risks: explanatory_or_contingent","Tim Dobbins, 2010 1st round pick (28th overall, Jared Odrick), 2010 2nd round pick (40th overall, Koa Misi) and 2010 4th round pick (126th overall subsequently traded, Akwasi Owusu-Ansah)","2010 1st round pick (28th overall, Jared Odrick) || 2010 2nd round pick (40th overall, Koa Misi) || 2010 4th round pick (126th overall subsequently traded, Akwasi Owusu-Ansah)","","3","2","",""
"124","manual","CND_manual_has_obvious_delimiter_use_other_lane","MIN-2010-04-22-0229","minnesota-vikings","draft-pick-trade-detroit-lions-2010","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2010 2nd round pick (34th overall, Chris Cook), 2010 4th round pick (100th overall, Everson Griffen) and 2010 7th round pick (214th overall, Mickey Shuler)","2010 2nd round pick (34th overall, Chris Cook) || 2010 4th round pick (100th overall, Everson Griffen) || 2010 7th round pick (214th overall, Mickey Shuler)","","3","2","",""
"125","manual","CND_manual_asset_has_risk_flags","PHI-2010-0337","philadelphia-eagles","eagles-2010-04-23-cleveland-browns-0337","0","pick","asset risks: explanatory_or_contingent","2010 3rd round pick (71st overall subsequently traded, Morgan Burnett), 2010 5th round pick (134th overall, Ricky Sapp) and 2010 5th round pick (146th overall subsequently traded, Cam Thomas)","2010 3rd round pick (71st overall subsequently traded, Morgan Burnett) || 2010 5th round pick (134th overall, Ricky Sapp) || 2010 5th round pick (146th overall subsequently traded, Cam Thomas)","","3","2","",""
"126","manual","CND_manual_has_obvious_delimiter_use_other_lane","SF-2010-0345","san-francisco-49ers","2010-3rd-round-pick-91st-overall-navorro-bowman-2010-6th-round-pic-los-angeles-san-diego-c","0","pick","asset has obvious delimiter between pick starts; should stay out of no-delimiter lane","2010 3rd round pick (91st overall, NaVorro Bowman), 2010 6th round pick (173rd overall, Anthony Dixon) and 2011 4th round pick (115th overall, Kendall Hunter)","2010 3rd round pick (91st overall, NaVorro Bowman) || 2010 6th round pick (173rd overall, Anthony Dixon) || 2011 4th round pick (115th overall, Kendall Hunter)","","3","2","",""
